name,code,region,month,industrial,total,recidencial
Alaró,7001,07001 Alaró,1998-01-01,0,0,0
Alaró,7001,07001 Alaró,1997-12-01,0,2480,2480
Alaró,7001,07001 Alaró,1997-11-01,0,228,228
Alaró,7001,07001 Alaró,1997-10-01,0,985,985
Alaró,7001,07001 Alaró,1997-09-01,0,0,0
Alaró,7001,07001 Alaró,1997-08-01,0,936,936
Alaró,7001,07001 Alaró,1997-07-01,0,516,516
Alaró,7001,07001 Alaró,1997-06-01,0,0,0
Alaró,7001,07001 Alaró,1997-05-01,0,416,416
Alaró,7001,07001 Alaró,1997-04-01,0,28,8
Alaró,7001,07001 Alaró,1997-03-01,0,4325,4325
Alaró,7001,07001 Alaró,1997-02-01,0,524,428
Alaró,7001,07001 Alaró,1997-01-01,0,1502,1482
Alaró,7001,07001 Alaró,1996-12-01,0,1540,971
Alaró,7001,07001 Alaró,1996-11-01,0,172,172
Alaró,7001,07001 Alaró,1996-10-01,0,840,820
Alaró,7001,07001 Alaró,1996-09-01,0,1877,1877
Alaró,7001,07001 Alaró,1996-08-01,0,571,571
Alaró,7001,07001 Alaró,1996-07-01,0,889,889
Alaró,7001,07001 Alaró,1996-06-01,223,431,208
Alaró,7001,07001 Alaró,1996-05-01,0,1654,1654
Alaró,7001,07001 Alaró,1996-04-01,0,895,895
Alaró,7001,07001 Alaró,1996-03-01,82,1082,1000
Alaró,7001,07001 Alaró,1996-02-01,0,249,249
Alaró,7001,07001 Alaró,1996-01-01,0,169,169
Alaró,7001,07001 Alaró,1995-12-01,0,374,374
Alaró,7001,07001 Alaró,1995-11-01,0,0,0
Alaró,7001,07001 Alaró,1995-10-01,0,410,410
Alaró,7001,07001 Alaró,1995-09-01,226,270,44
Alaró,7001,07001 Alaró,1995-08-01,0,958,958
Alaró,7001,07001 Alaró,1995-07-01,0,98,98
Alaró,7001,07001 Alaró,1995-06-01,35,170,135
Alaró,7001,07001 Alaró,1995-05-01,0,330,330
Alaró,7001,07001 Alaró,1995-04-01,0,396,396
Alaró,7001,07001 Alaró,1995-03-01,0,311,311
Alaró,7001,07001 Alaró,1995-02-01,0,670,670
Alaró,7001,07001 Alaró,1995-01-01,0,298,298
Alaró,7001,07001 Alaró,1994-12-01,0,1808,1808
Alaró,7001,07001 Alaró,1994-11-01,391,1075,684
Alaró,7001,07001 Alaró,1994-10-01,0,160,140
Alaró,7001,07001 Alaró,1994-09-01,0,148,148
Alaró,7001,07001 Alaró,1994-08-01,0,0,0
Alaró,7001,07001 Alaró,1994-07-01,1618,2733,1115
Alaró,7001,07001 Alaró,1994-06-01,653,741,88
Alaró,7001,07001 Alaró,1994-05-01,0,573,553
Alaró,7001,07001 Alaró,1994-04-01,0,965,965
Alaró,7001,07001 Alaró,1994-03-01,0,97,97
Alaró,7001,07001 Alaró,1994-02-01,119,230,111
Alaró,7001,07001 Alaró,1994-01-01,0,635,635
Alaró,7001,07001 Alaró,1993-12-01,0,104,104
Alaró,7001,07001 Alaró,1993-11-01,0,236,236
Alaró,7001,07001 Alaró,1993-10-01,0,159,96
Alaró,7001,07001 Alaró,1993-09-01,0,236,172
Alaró,7001,07001 Alaró,1993-08-01,0,286,286
Alaró,7001,07001 Alaró,1993-07-01,504,967,463
Alaró,7001,07001 Alaró,1993-06-01,0,154,154
Alaró,7001,07001 Alaró,1993-05-01,0,2588,2588
Alaró,7001,07001 Alaró,1993-04-01,0,344,344
Alaró,7001,07001 Alaró,1993-03-01,0,2037,1887
Alaró,7001,07001 Alaró,1993-02-01,9,306,297
Alaró,7001,07001 Alaró,1993-01-01,0,0,0
Alaró,7001,07001 Alaró,1992-12-01,0,485,437
Alaró,7001,07001 Alaró,1992-11-01,0,0,0
Alaró,7001,07001 Alaró,1992-10-01,0,40,40
Alaró,7001,07001 Alaró,1992-09-01,49,49,0
Alaró,7001,07001 Alaró,1992-08-01,0,0,0
Alaró,7001,07001 Alaró,1992-07-01,0,135,135
Alaró,7001,07001 Alaró,1992-06-01,0,0,0
Alaró,7001,07001 Alaró,1992-05-01,0,103,103
Alaró,7001,07001 Alaró,1992-04-01,0,404,404
Alaró,7001,07001 Alaró,1992-03-01,65,399,334
Alaró,7001,07001 Alaró,1992-02-01,0,2022,2022
Alaró,7001,07001 Alaró,1992-01-01,0,668,668
Alaró,7001,07001 Alaró,1991-12-01,424,815,391
Alaró,7001,07001 Alaró,1991-11-01,0,108,108
Alaró,7001,07001 Alaró,1991-10-01,194,522,243
Alaró,7001,07001 Alaró,1991-09-01,0,177,177
Alaró,7001,07001 Alaró,1991-08-01,0,605,605
Alaró,7001,07001 Alaró,1991-07-01,0,502,502
Alaró,7001,07001 Alaró,1991-06-01,0,461,461
Alaró,7001,07001 Alaró,1991-05-01,0,310,310
Alaró,7001,07001 Alaró,1991-04-01,0,12,12
Alaró,7001,07001 Alaró,1991-03-01,0,505,505
Alaró,7001,07001 Alaró,1991-02-01,0,0,0
Alaró,7001,07001 Alaró,1991-01-01,0,44,44
Alaró,7001,07001 Alaró,1990-12-01,191,1494,190
Alaró,7001,07001 Alaró,1990-11-01,0,211,211
Alaró,7001,07001 Alaró,1990-10-01,0,0,0
Alaró,7001,07001 Alaró,1990-09-01,0,243,223
Alaró,7001,07001 Alaró,1990-08-01,0,175,175
Alaró,7001,07001 Alaró,1990-07-01,0,370,370
Alaró,7001,07001 Alaró,1990-06-01,504,504,0
Alaró,7001,07001 Alaró,1990-05-01,0,121,121
Alaró,7001,07001 Alaró,1990-04-01,0,7,7
Alaró,7001,07001 Alaró,1990-03-01,0,948,948
Alaró,7001,07001 Alaró,1990-02-01,0,960,960
Alaró,7001,07001 Alaró,1990-01-01,115,489,374
Alaró,7001,07001 Alaró,1989-12-01,0,284,284
Alaró,7001,07001 Alaró,1989-11-01,0,302,302
Alaró,7001,07001 Alaró,1989-10-01,0,3912,3912
Alaró,7001,07001 Alaró,1989-09-01,0,0,0
Alaró,7001,07001 Alaró,1989-08-01,0,0,0
Alaró,7001,07001 Alaró,1989-07-01,263,447,184
Alaró,7001,07001 Alaró,1989-06-01,0,263,263
Alaró,7001,07001 Alaró,1989-05-01,0,0,0
Alaró,7001,07001 Alaró,1989-04-01,123,665,542
